# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    dta     data/cleaned/sch_char_2017.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/sch_char_2018.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/sch_char_2019.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/sch_char_2019.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/sch_char_2020.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/sch_char_2020.dta
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_b.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_l.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_a.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_s.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_la.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_ls.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_as.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/score_las.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_b.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_l.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_a.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_s.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_la.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_ls.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_as.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/score_las.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_b.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_l.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_a.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_s.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_la.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_ls.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_as.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v1/out_las.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_b.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_l.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_a.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_s.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_la.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_ls.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_as.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/va_samples_v2/out_las.dta  rc=9 on cf _all
PASS                    full    dta     data/cleaned/sbac/va_samples.dta  cf _all: 0 cumulative diffs
READ_ERROR              full    dta     data/cleaned/share/base_nodrop.dta  rc=9 on cf _all
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
